4;4;;;;2013-05-06 16:11:37.825133;2013-05-08 13:43:23.094018;"";"""rights""=>""Cliff May"", ""copyright_notice""=>""Cliff May""";"""format""=>""landscape"", ""image_size""=>""1775x1184"", ""image_width""=>""1775"", ""image_height""=>""1184""";"";"";f
5;5;Cara Cara;Cara Cara in flight. Taken at The Cotswold Falconry Centre.;{Birds};2013-05-06 16:13:31.506258;2013-05-08 13:43:23.122333;"";"""rights""=>""Cliff May 2012"", ""copyright_notice""=>""Cliff May 2012""";"""format""=>""landscape"", ""image_size""=>""2561x1701"", ""image_width""=>""2561"", ""image_height""=>""1701""";"";'cara':1,2,3,4 'centr':12 'cotswold':10 'falconri':11 'flight':6 'taken':7;f
6;6;Adventuring on Brean Down;"";{sunset,brean,beach};2013-05-06 16:14:48.213437;2013-05-08 13:43:23.14378;"""make""=>""Apple"", ""model""=>""iPhone 4S""";"";"""lat""=>""51.32416666666667"", ""lng""=>""-3.012"", ""format""=>""landscape"", ""image_size""=>""3264x2448"", ""color_space""=>""sRGB"", ""image_width""=>""3264"", ""gps_position""=>""51 deg 19' 27.00\"" N, 3 deg 0' 43.20\"" W"", ""image_height""=>""2448"", ""date_time_original""=>""2012-10-20 17:55:13 +0000""";"""fov""=>""54.4 deg"", ""iso""=>""50"", ""flash""=>""Auto, Did not fire"", ""aperture""=>""2.4"", ""focal_length""=>""4.3 mm"", ""exposure_mode""=>""Auto"", ""metering_mode""=>""Multi-segment"", ""shutter_speed""=>""1/250"", ""white_balance""=>""Auto"", ""exposure_program""=>""Program AE"", ""circle_of_confusion""=>""0.004 mm"", ""hyperfocal_distance""=>""2.08 m""";'adventur':1 'brean':3;f
7;7;Unknown Bird!;A fledgling that I came across while walking. No idea what it was, but there were Lapwings in the field next to it.;{Birds,Nature};2013-05-06 16:17:49.604049;2013-05-08 13:43:23.177376;"";"""rights""=>""Cliff May"", ""copyright_notice""=>""Cliff May""";"""format""=>""landscape"", ""image_size""=>""1680x1120"", ""image_width""=>""1680"", ""image_height""=>""1120""";"";'across':8 'bird':2 'came':7 'field':22 'fledgl':4 'idea':12 'lapw':19 'next':23 'unknown':1 'walk':10;f
66;66;Burrowing Owl;"";{Owl,Birds,bird};2013-05-07 20:47:19.805787;2013-05-08 13:43:24.840139;"""make""=>""NIKON CORPORATION"", ""model""=>""NIKON D3100"", ""lens_model""=>""150.0-500.0 mm f/5.0-6.3"", ""serial_number""=>""4058717""";"";"""format""=>""portrait"", ""image_size""=>""1445x2023"", ""color_space""=>""Uncalibrated"", ""image_width""=>""1445"", ""date_created""=>""2013-05-05 06:48:59 +0000"", ""image_height""=>""2023"", ""date_time_original""=>""2013-05-05 06:48:59 +0000""";"""fov""=>""2.7 deg"", ""iso""=>""400"", ""flash""=>""No Flash"", ""format""=>""image/jpeg"", ""aperture""=>""6.3"", ""contrast""=>""Normal"", ""sharpness""=>""Normal"", ""saturation""=>""Normal"", ""focal_length""=>""500.0 mm"", ""exposure_mode""=>""Auto"", ""metering_mode""=>""Center-weighted average"", ""shutter_speed""=>""1/1250"", ""white_balance""=>""Auto"", ""exposure_program""=>""Aperture-priority AE"", ""circle_of_confusion""=>""0.020 mm"", ""hyperfocal_distance""=>""1981.07 m""";'burrow':1 'owl':2;f
72;72;;;;2013-05-07 21:10:45.16297;2013-05-08 13:43:24.937561;"""make""=>""Canon"", ""model""=>""Canon EOS REBEL T2i"", ""lens_model""=>""EF70-200mm f/4L USM"", ""serial_number""=>""1023501340""";"";"""format""=>""portrait"", ""image_size""=>""3456x5184"", ""color_space""=>""Uncalibrated"", ""image_width""=>""3456"", ""date_created""=>""2011-12-29 15:37:16 +0000"", ""image_height""=>""5184"", ""date_time_original""=>""2011-12-29 15:37:16 +0000""";"""fov""=>""6.5 deg"", ""iso""=>""400"", ""flash""=>""Off, Did not fire"", ""format""=>""image/jpeg"", ""aperture""=>""7.1"", ""contrast""=>""+25"", ""sharpness""=>""25"", ""saturation""=>""0"", ""focal_length""=>""200.0 mm"", ""exposure_mode""=>""Auto"", ""metering_mode""=>""Center-weighted average"", ""shutter_speed""=>""1/800"", ""white_balance""=>""Auto"", ""exposure_program""=>""Program AE"", ""circle_of_confusion""=>""0.019 mm"", ""hyperfocal_distance""=>""296.48 m""";"";f
73;73;;;;2013-05-07 21:11:42.979668;2013-05-08 13:43:24.959467;"""make""=>""Canon"", ""model""=>""Canon EOS REBEL T2i"", ""lens_model""=>""EF-S18-55mm f/3.5-5.6 IS"", ""serial_number""=>""1023501340""";"";"""format""=>""landscape"", ""image_size""=>""5184x3456"", ""color_space""=>""Uncalibrated"", ""image_width""=>""5184"", ""date_created""=>""2012-06-21 05:37:30 +0000"", ""image_height""=>""3456"", ""date_time_original""=>""2012-06-21 05:37:30 +0000""";"""fov""=>""64.9 deg"", ""iso""=>""100"", ""flash""=>""Off, Did not fire"", ""format""=>""image/jpeg"", ""aperture""=>""3.5"", ""contrast""=>""+25"", ""sharpness""=>""25"", ""saturation""=>""0"", ""focal_length""=>""18.0 mm"", ""exposure_mode""=>""Manual"", ""metering_mode""=>""Multi-segment"", ""shutter_speed""=>""1/800"", ""white_balance""=>""Auto"", ""exposure_program""=>""Manual"", ""circle_of_confusion""=>""0.019 mm"", ""hyperfocal_distance""=>""4.85 m""";"";f
214;214;;;;2013-05-07 23:28:04.78977;2013-05-08 13:43:28.084381;"""make""=>""EASTMAN KODAK COMPANY"", ""model""=>""KODAK DX6490 ZOOM DIGITAL CAMERA""";"";"""format""=>""landscape"", ""image_size""=>""2304x1536"", ""color_space""=>""sRGB"", ""image_width""=>""2304"", ""date_created""=>""2013:05:06"", ""image_height""=>""1536"", ""date_time_original""=>""2013-05-06 00:53:46 +0000""";"""fov""=>""50.7 deg"", ""iso""=>""100"", ""flash""=>""Off, Did not fire"", ""quality""=>""Fine"", ""aperture""=>""2.8"", ""contrast""=>""Normal"", ""sharpness""=>""Hard"", ""saturation""=>""Normal"", ""digital_zoom""=>""1"", ""focal_length""=>""6.3 mm"", ""exposure_mode""=>""Auto"", ""metering_mode""=>""Multi-segment"", ""shutter_speed""=>""1/249"", ""white_balance""=>""Daylight"", ""exposure_program""=>""Aperture-priority AE"", ""circle_of_confusion""=>""0.005 mm"", ""hyperfocal_distance""=>""2.85 m""";"";f
289;289;;;;2013-05-08 00:26:42.163473;2013-05-08 13:43:30.254635;"";"";"""format""=>""landscape"", ""image_size""=>""500x356"", ""image_width""=>""500"", ""image_height""=>""356""";"";"";f
3;3;Badger;Badger foraging. Taken with a Bushnell Trail Camera.;{Badger};2013-05-06 16:10:44.370461;2013-05-08 21:40:20.512961;"""make""=>"""", ""model""=>""""";"";"""format""=>""landscape"", ""image_size""=>""3264x1832"", ""color_space""=>""sRGB"", ""image_width""=>""3264"", ""image_height""=>""1832"", ""date_time_original""=>""2013-02-28 01:31:28 +0000""";"""iso""=>""100"", ""flash""=>""No Flash"", ""aperture""=>""2.8"", ""metering_mode""=>""Average"", ""shutter_speed""=>""0"", ""exposure_program""=>""Aperture-priority AE""";'badger':1,2 'bushnel':7 'camera':9 'forag':3 'taken':4 'trail':8;f
